,alpha1,alpha2,dim_out,lr
42,0.29679603293603984,0.25392985503688825,39,0.006545543260835354
43,0.3637036253979742,0.45698405517219665,15,0.00914387769303554
44,0.4902551755159793,0.4675362344267553,15,0.004145354192928732
45,0.6685187378675946,0.328206810479995,19,0.008394311082159038
46,0.673414629518269,0.00412488825059254,8,0.0016841567417082393
47,0.5721006401618445,0.08907635059276142,21,0.0064906111201118895
48,0.0805922429153243,0.2523524408772907,16,0.005153570203212331
49,0.8983312642659431,0.6953091172284835,26,0.005969697679812869
50,0.038388527198505495,0.47908377463620844,15,0.005063725327002984
51,0.7821944206920616,0.980615606050284,33,0.0015351465364561502
52,0.03665635666309819,0.09640319786541829,15,0.009737347617907482
53,0.2671838475497442,0.10310029056229042,8,0.00564413931588379
54,0.2052238453808367,0.6289226340159657,14,0.006978806258628423
55,0.2588944289590802,0.937742977144682,35,0.008403056716409323
56,0.9326152878803907,0.8227255252987415,25,0.007946119495550751
57,0.008124911838358728,0.9198113639144517,12,0.006956299150585639
58,0.40347318162122725,0.22591432496461616,8,0.005464082633382855
59,0.8941022101250973,0.9038092618258052,14,0.009563643592419825
60,0.20420902740468538,0.2226002373908197,3,0.0022317946259961313
61,0.021776014316907122,0.45125969096745,25,0.008058467776039576
62,0.6971671199504493,0.7320575474259751,18,0.0038380238574158543
63,0.19102334596097692,0.10571303618884476,20,0.004123129100297577
64,0.54643298763753,0.5793228658072813,5,0.007768565292602998
65,0.6032252007736969,0.42616238547658736,12,0.009174066526798478
66,0.9887938578309889,0.08025891160767584,5,0.0016631551798596171
67,0.09244605210519907,0.29913301079263943,38,0.00792602420541971
68,0.06428732001989301,0.3661095241429688,17,0.0032072097184963483
69,0.9879519931621606,0.40659057063823456,10,0.0072832825927435394
70,0.4521080197539924,0.9170360848397897,30,0.006958089031615646
71,0.853911191953852,0.9999480573334416,5,0.007362784185353585
72,0.40144506971901617,0.24392272744957078,11,0.0046266023477429166
73,0.388206443291484,0.962666778688553,30,0.005862943665056171
74,0.8844074381169864,0.7310238552642716,23,0.005720181669271643
75,0.6519728814948943,0.2762140510391864,24,0.009213625735679614
76,0.7767990427497373,0.34468690471496555,23,0.008774233483032322
77,0.09632966441971946,0.7938813405123656,23,0.004714193802583078
78,0.9661620512072584,0.8275322323278688,24,0.007955059702730607
79,0.3222640366285925,0.9369861657028227,25,0.00874537625301667
80,0.29316833237526385,0.6113281439655812,34,0.0023990303723315483
81,0.7016298039373616,0.4676235810463921,6,0.002318742446697799
82,0.35827766407622386,0.3970210966960315,11,0.0011003486943484062
83,0.1581709784928026,0.6058148021987384,29,0.008564814044745194
84,0.008230608771331971,0.7479725641835479,25,0.007782730201613126
85,0.8299950023012593,0.9982097518248666,36,0.004023630304068918
86,0.626445146769009,0.07437135023722319,22,0.002336932659477536
87,0.8714382738423947,0.18108142957618611,9,0.009703719284505329
88,0.6259073187101303,0.24375407914394276,28,0.003912341304758842
89,0.13063770166091837,0.9302953940507334,19,0.0037893046797514455
90,0.45243008929700157,0.9073833086077636,38,0.004697306442243409
91,0.1943746914481067,0.7915264191542518,8,0.005363869269349659
92,0.9448632172453963,0.5371501663911695,29,0.003272108059923566
93,0.41798054411863106,0.7915511834088815,9,0.004130165948188883
94,0.07896470163603009,0.10298786087219236,35,0.002704714350973806
95,0.8663845557435743,0.5975512109364486,11,0.0024568560470511
96,0.6864983763086265,0.24111071467031797,14,0.0030105084011483032
97,0.01976159293409907,0.03797707837197817,27,0.003743675189435758
98,0.07446143655554527,0.9162567398347564,23,0.004242150418252944
99,0.02533676652235639,0.0955483251385999,29,0.003074986250246448
